_id,TimePeriod,LocationCode,SubGroup,NumberOfDeaths,NumberOfDeathsQF,NumberOfPatients,NumberOfPatientsQF,CrudeRate
448,2020Q1,S116H,All Admissions,237,"",6691,"",3.54207143924675
449,2020Q1,S308H,All Admissions,198,"",7381,"",2.68256333830104
450,2020Q1,S314H,All Admissions,478,"",11729,"",4.07536874413846
451,2020Q1,R103H,All Admissions,36,"",872,"",4.12844036697248
452,2020Q1,Z102H,All Admissions,25,"",865,"",2.89017341040462
453,2020Q1,W107H,All Admissions,30,"",1032,"",2.90697674418605
454,2020Q1,F704H,All Admissions,396,"",9342,"",4.23892100192678
455,2020Q1,T101H,All Admissions,496,"",11567,"",4.28806086279934
456,2020Q1,T202H,All Admissions,110,"",2732,"",4.02635431918009
457,2020Q1,T312H,All Admissions,3,"",1267,"",0.236779794790845
458,2020Q1,C313H,All Admissions,176,"",4107,"",4.28536644752861
459,2020Q1,C418H,All Admissions,338,"",8765,"",3.8562464346834
460,2020Q1,G107H,All Admissions,445,"",15820,"",2.81289506953224
461,2020Q1,G405H,All Admissions,752,"",26699,"",2.81658489081988
462,2020Q1,L106H,All Admissions,275,"",7794,"",3.52835514498332
463,2020Q1,L302H,All Admissions,237,"",6728,"",3.52259215219976
464,2020Q1,L308H,All Admissions,314,"",9786,"",3.2086654404251
465,2020Q1,D102H,All Admissions,32,"",5611,"",0.570308322937088
466,2020Q2,A101H,All Admissions,6,"",51,"",11.7647058823529
467,2020Q2,A111H,All Admissions,312,"",5694,"",5.47945205479452
468,2020Q2,A210H,All Admissions,194,"",3652,"",5.31215772179628
469,2020Q2,B120H,All Admissions,162,"",2086,"",7.76605944391179
470,2020Q2,Y144H,All Admissions,30,"",188,"",15.9574468085106
471,2020Q2,Y146H,All Admissions,177,"",3206,"",5.52089831565814
472,2020Q2,V217H,All Admissions,302,"",5826,"",5.18365945760384
473,2020Q2,N101H,All Admissions,440,"",7934,"",5.54575245777666
474,2020Q2,N411H,All Admissions,89,"",1635,"",5.4434250764526
475,2020Q2,C121H,All Admissions,21,"",308,"",6.81818181818182
476,2020Q2,H103H,All Admissions,28,"",500,"",5.6
477,2020Q2,H202H,All Admissions,167,"",4329,"",3.85770385770386
478,2020Q2,H212H,All Admissions,24,"",244,"",9.83606557377049
479,2020Q2,S116H,All Admissions,212,"",4743,"",4.46974488720219
480,2020Q2,S308H,All Admissions,172,"",4008,"",4.29141716566866
